Name,sowInstructions,spaceInstructions,harvestInstructions,compatiblePlants,avoidInstructions,culinaryHints,culinaryPreservation,image,url
Beans ,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 61°F and 86°F. (Show °C/cm),Space plants: 2 - 6 inches apart,Harvest in 7-10 weeks. Pick often to encourage more flower production.,"Compatible with (can grow beside): Sweetcorn, spinach, lettuce, summer savory, dill, carrots, brassicas, beets, radish, strawberry and cucumbers, tagates minuta (wild marigold)","Avoid growing close to: Alliums (Chives, leek, garlic, onions) Sunflower","Can be used in salads when young, blanched and cooled.",Will freeze well.,http://gardenate.com/image/43/thumb/150/150; http://gardenate.com/image/62/thumb/150/150,http://gardenate.com/plant/Beans%2B-%2Bdwarf
Cowpeas,Easy to grow. When soil begins to warm up. After frosts finish.. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 59°F and 95°F. (Show °C/cm),Space plants: Rows 1 Metre apart,Harvest in 11-14 weeks.,,,Young leaves can be cooked and used like spinach and are very high in protein. The young pods are edible.,,,http://gardenate.com/plant/Cowpeas
Corn Salad,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 50°F and 68°F. (Show °C/cm),Space plants: 4 - 6 inches apart,Harvest in 5-8 weeks.,Compatible with (can grow beside): Onions,,Pick individual leaves or harvest the whole plant as required,,http://gardenate.com/image/130/thumb/150/150,http://gardenate.com/plant/Corn%2BSalad
Chives,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 50°F and 86°F. (Show °C/cm),Space plants: 2 inches apart,Harvest in 7-11 weeks.,"Compatible with (can grow beside): Carrots, Tomatoes, Parsley, Apples",,Use raw in salads or as a mild onion flavour in cooked dishes.,,http://gardenate.com/image/69/thumb/150/150,http://gardenate.com/plant/Chives
Coriander,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 50°F and 77°F. (Show °C/cm),Space plants: Thin to 18 inches,Harvest in 30-45 days.,"Compatible with (can grow beside): Dill, Chervil, Anise, Cabbages, Carrots",Avoid growing close to: Fennel,Use the leaves to flavour hot meals or add fresh to salads.,The seeds can be dried and ground up for curries.,http://gardenate.com/image/52/thumb/150/150,http://gardenate.com/plant/Coriander
Collards,"Easy to grow. Grow in seed trays, and plant out in 4-6 weeks. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 46°F and 86°F. (Show °C/cm)",Space plants: 16 - 20 inches apart,Harvest in 8-11 weeks.,"Compatible with (can grow beside): Dwarf (bush) beans, beets, celery, cucumber, onions, marigold, nasturtium, rhubarb, aromatic herbs (sage, dill, chamomile)","Avoid growing close to: Climbing (pole) beans, tomato, peppers (chili, capsicum), eggplant (aubergine), strawberry, mustard",Slice and steam or use in stir-fry,,http://gardenate.com/image/147/thumb/150/150,http://gardenate.com/plant/Collards
Choko/Chayote,Easy to grow. Plant whole mature fruit when one produces a shoot at one end.. Best planted at soil temperatures between 59°F and 86°F. (Show °C/cm),Space plants: 39 inches apart,Harvest in approximately 17 weeks. Best when fruit is light green and not more than 6cm long.,Compatible with (can grow beside): Cucumbers,,"Chokos can be peeled and chopped to use in stews, soup or as a stir fry vegetable. Cooked or raw, it has a very mild flavour and is commonly served with seasonings e.g., salt, butter and pepper or in a dish with other vegetables and/or flavourings. It can also be boiled, stuffed, mashed or pickled",,http://gardenate.com/image/99/thumb/150/150,http://gardenate.com/plant/Choko~Chayote
Burdock,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 50°F and 68°F. (Show °C/cm),Space plants: 24 inches apart,Harvest in 17-18 weeks.,Compatible with (can grow beside): Best grown in separate bed.,,"Harvest in the first year when the burdock root is very crisp and has a sweet, mild, and pungent flavour with a little muddy harshness that can be reduced by soaking julienne/shredded roots in water for five to ten minutes. Immature flower stalks may also be harvested in late spring, before flowers appear; the taste resembles that of artichoke, to which the burdock is related. It is a key ingredient in the traditional Dandelion and Burdock beer.",,,http://gardenate.com/plant/Burdock
Chinese cabbage,Easy to grow. Sow direct in the garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 50°F and 68°F. (Show °C/cm),Space plants: 12 inches apart,Harvest in 8-10 weeks. Harvest whole head or you can take a few leaves at a time.,"Compatible with (can grow beside): Dwarf (bush) beans, beets, celery, cucumber, onions, marigold, nasturtium, rhubarb, aromatic herbs (sage, dill, chamomile, coriander), lettuce, potatoes","Avoid growing close to: Climbing (pole) beans, tomato, peppers (chilli, capsicum), eggplant (aubergine), strawberry, mustard",Use in stir-fry . Has a milder flavour than regular cabbage.Shred the inner leaves and stems to use in coleslaw salad.,,,http://gardenate.com/plant/Chinese%2Bcabbage
Cabbage,"Easy to grow. Grow in seed trays, and plant out in 4 weeks. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 41°F and 64°F. (Show °C/cm)",Space plants: 20 - 30 inches apart,Harvest in 11-15 weeks.,"Compatible with (can grow beside): Dwarf (bush) beans, beets, celery, cucumber, onions, marigold, nasturtium, rhubarb, aromatic herbs (sage, dill, chamomile, thyme)","Avoid growing close to: Climbing (pole) beans, tomato, peppers (chili, capsicum), eggplant (aubergine), strawberry, mustard, parsnip","Young spring cabbage can be chopped and added to salad greens. Steaming preserves the goodness and flavour of cabbage. Can also be used in stir-fry. Red cabbage chopped and cooked with brown sugar, red wine, onions, vinegar and stock is served with boiled bacon or pork.",,http://gardenate.com/image/71/thumb/150/150,http://gardenate.com/plant/Cabbage
Cape Gooseberry,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 50°F and 77°F. (Show °C/cm),Space plants: 20 inches apart,Harvest in 14-16 weeks.,Compatible with (can grow beside): Will happily grow in a flower border,,"The berry is the size of a cherry tomato, is very aromatic and full of tiny seeds. They are delicious eaten fresh or can be made into jam. They can be added to salads, desserts and cooked dishes, they are delicious stewed with other fruit, especially apples. They also go well in savoury dishes with meat or seafood.",Can be preserved dried.,http://gardenate.com/image/56/thumb/150/150; http://gardenate.com/image/54/thumb/150/150; http://gardenate.com/image/59/thumb/150/150,http://gardenate.com/plant/Cape%2BGooseberry
Carrot,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 46°F and 86°F. (Show °C/cm),Space plants: 2 - 12 inches apart,Harvest in 12-18 weeks.,"Compatible with (can grow beside): Onions, Leeks, Lettuce, Sage, Peas, Radishes, Tomatoes, Beans, Celery, Rosemary","Avoid growing close to: Parsnips, Beetroot, Dill, Brassicas, Fennel",Steamed or raw carrots are tasty. Cook them in a small amount of water until nearly dry then add a pat of butter and teasp of brown sugar to glaze. They can be added to most casserole-type dishes. Grate raw carrots and add to salads,,http://gardenate.com/image/65/thumb/150/150; http://gardenate.com/image/160/thumb/150/150,http://gardenate.com/plant/Carrot
Angelica,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 50°F and 77°F. (Show °C/cm),Space plants: 18 inches apart,"Harvest in approximately 18 months. Angelica archangelica has slightly dull leaves, not shiny..","Compatible with (can grow beside): Any herbs that like damp, shady areas - mint, lemon balm",,The stems can be candied and used to decorate cakes and pastries. Pick the stems in the second year.,,http://gardenate.com/image/124/thumb/150/150,http://gardenate.com/plant/Angelica
Artichokes (Globe),Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 59°F and 64°F. (Show °C/cm),Space plants: 63 - 79 inches apart,Harvest in 42-57 weeks.,Compatible with (can grow beside): Needs a lot of space. Best in separate bed,,"Pick buds before scales develop brown tips. If you have lots of small buds, they can be fried in olive oil and eaten whole. Rinse in plenty of cold water to remove earwigs or other insects.",,http://gardenate.com/image/109/thumb/150/150; http://gardenate.com/image/14/thumb/150/150,http://gardenate.com/plant/Artichokes%2B(Globe)
Asparagus,Easy to grow. Plant as crowns. Best planted at soil temperatures between 61°F and 86°F. (Show °C/cm),Space plants: 8 - 16 inches apart,Harvest in 2-3 years. Plant 'crowns' to harvest earlier .,"Compatible with (can grow beside): Parsley, Basil, Nasturtiums, Lettuce","Avoid growing close to: Garlic, Onions, and root vegetables","Steaming is traditional, then coating with melted butter or hollandaise sauce. Alternatively break in short lengths, and cook quickly in hot oil in a wok and sprinkle with soy sauce or balsamic vinegar. NOTE: The asparagus berries are poisonous. Only the young shoots are edible.",,http://gardenate.com/image/66/thumb/150/150,http://gardenate.com/plant/Asparagus
Asparagus Pea,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 59°F and 68°F. (Show °C/cm),Space plants: 8 - 10 inches apart,"Harvest in 8-11 weeks. Pick early, pick often.",Compatible with (can grow beside): Best grown in separate bed,,Cook quickly by steaming and serve with just a touch of butter and they are said to taste like their namesake .,,http://gardenate.com/image/111/thumb/150/150,http://gardenate.com/plant/Asparagus%2BPea
Beans ,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 43°F and 75°F. (Show °C/cm),Space plants: 6 - 10 inches apart,Harvest in 12-22 weeks. Pick frequently to encourage more pods.,"Compatible with (can grow beside): Dill, Potatoes",,"The fresh beans are eaten steamed or boiled. As the beans mature it is better to remove their tough outer skins after cooking. The leafy top shoots of the adult plants can be picked and steamed after flowering. Small beans can be eaten whole in the pods.
",Will freeze well. Remove from pods and blanch.,http://gardenate.com/image/158/thumb/150/150; http://gardenate.com/image/93/thumb/150/150; http://gardenate.com/image/159/thumb/150/150; http://gardenate.com/image/92/thumb/150/150,http://gardenate.com/plant/Beans%2B-%2Bbroad%2Bbeans%2C%2Bfava%2Bbeans
Beans ,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 61°F and 86°F. (Show °C/cm),Space plants: 4 - 8 inches apart,Harvest in 9-11 weeks.,"Compatible with (can grow beside): Sweetcorn, spinach, lettuce, summer savory, dill, carrots, brassicas, beets, radish, strawberry, cucumbers, zucchini, tagates minuta (wild marigold)","Avoid growing close to: Alliums (Chives, leek, garlic, onions), Florence fennel",Use young in salads - blanch and cool.,Will freeze well.,http://gardenate.com/image/42/thumb/150/150; http://gardenate.com/image/38/thumb/150/150,http://gardenate.com/plant/Beans%2B-%2Bclimbing
Beetroot,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 45°F and 77°F. (Show °C/cm),Space plants: 8 - 12 inches apart,Harvest in 7-10 weeks.,"Compatible with (can grow beside): Onions, Silverbeet (Swiss Chard), Lettuce, Cabbage, Dwarf Beans, Dill, Peas. Strawberries","Avoid growing close to: Asparagus, Carrots, Sweetcorn, Spinach","Apart from boiling whole for salads, beetroot roast well, cut in wedges. They also make a tasty salad grated raw with carrot and a little fresh orange juice.",,http://gardenate.com/image/67/thumb/150/150; http://gardenate.com/image/113/thumb/150/150,http://gardenate.com/plant/Beetroot
