plants,Repels
Lavender,fleas
Lavender,moths
Lavender,snails
Lavender,mosquitos
Chrysanthemums,ants
Chrysanthemums,ticks
Chrysanthemums,fleas
Chrysanthemums,spidermites
Chrysanthemums,roaches
Chrysanthemums,japanese beetles
Chrysanthemums,bed bugs
Basil,mosquitos
Basil,house flies
Nasturtiums,aphids
Nasturtiums,white flies
Lemongrass,mosquitos
Marigolds,mosquitos
Marigolds,snails
Marigolds,nematodes
Marigolds,aphids
Lemon Thyme,mosquitos
Mint,mosquitos
Mint,snails
Mint,ants
Petunias,aphids
Petunias,japanese beetles
Petunias,leaf hoppers
Rosemary,snails
Rosemary,mosquitos
Rue (toxic to humans and animals),cats
Gerarium,wasps
Oregano,deer
Society Garlic,snakes
Dill,bugs
